         1,         0,     0,    -1,    -1,     0,    -1,    -1,0
         2,       250,    -1,    11,   -12,     0,   -30,    28,0
         3,       500,    -9,    87,   -79,    20,  -200,   178,0
         4,       750,   -31,   182,  -152,    67,  -347,   279,0
         5,      1000,   -70,   286,  -217,   134,  -504,   369,0
         6,      1250,  -125,   417,  -293,   227,  -681,   452,0
         7,      1500,  -200,   558,  -359,   338,  -796,   457,0
         8,      1750,  -294,   710,  -417,   464,  -966,   500,0
         9,      2000,  -409,   868,  -460,   613, -1130,   516,0
        10,      2250,  -544,  1029,  -485,   775, -1246,   469,0
        11,      2500,  -697,  1183,  -486,   950, -1389,   437,0
        12,      2750,  -868,  1341,  -473,  1137, -1492,   353,0
        13,      3000, -1055,  1488,  -433,  1329, -1579,   248,0
        14,      3250, -1257,  1625,  -369,  1529, -1673,   143,0
        15,      3500, -1470,  1753,  -283,  1731, -1709,   -24,0
        16,      3750, -1694,  1859,  -166,  1930, -1739,  -192,0
        17,      4000, -1925,  1953,   -28,  2127, -1756,  -373,0
        18,      4250, -2161,  2026,   135,  2317, -1715,  -603,0
        19,      4500, -2399,  2072,   326,  2495, -1672,  -825,0
        20,      4750, -2635,  2098,   537,  2663, -1597, -1067,0
        21,      5000, -2869,  2095,   773,  2814, -1476, -1339,0
        22,      5250, -3095,  2065,  1030,  2946, -1349, -1598,0
        23,      5500, -3311,  2007,  1304,  3058, -1180, -1879,0
        24,      5750, -3514,  1916,  1598,  3145,  -979, -2167,0
        25,      6000, -3701,  1795,  1905,  3207,  -765, -2442,0
        26,      6250, -3869,  1644,  2224,  3241,  -511, -2731,0
        27,      6500, -4016,  1460,  2555,  3245,  -237, -3008,0
        28,      6750, -4138,  1246,  2891,  3218,    55, -3273,0
        29,      7000, -4233,  1001,  3231,  3158,   380, -3538,0
        30,      7250, -4299,   726,  3572,  3064,   713, -3777,0
        31,      7500, -4334,   424,  3908,  2937,  1067, -4004,0
        32,      7750, -4335,    93,  4240,  2774,  1439, -4213,0
        33,      8000, -4301,  -263,  4562,  2577,  1811, -4388,0
        34,      8250, -4232,  -640,  4870,  2346,  2200, -4545,0
        35,      8500, -4125, -1040,  5162,  2080,  2592, -4672,0
        36,      8750, -3980, -1457,  5434,  1782,  2977, -4760,0
        37,      9000, -3796, -1890,  5683,  1453,  3370, -4823,0
        38,      9250, -3574, -2335,  5906,  1094,  3749, -4843,0
        39,      9500, -3314, -2788,  6099,   707,  4118, -4826,0
        40,      9750, -3016, -3247,  6260,   295,  4480, -4775,0
        41,     10000, -2682, -3708,  6386,  -141,  4817, -4677,0
        42,     10250, -2312, -4166,  6474,  -596,  5136, -4540,0
        43,     10500, -1908, -4619,  6523, -1069,  5433, -4364,0
        44,     10750, -1473, -5062,  6530, -1556,  5696, -4141,0
        45,     11000, -1008, -5491,  6494, -2052,  5933, -3882,0
        46,     11250,  -516, -5903,  6414, -2556,  6135, -3579,0
        47,     11500,     1, -6293,  6287, -3062,  6296, -3234,0
        48,     11750,   538, -6658,  6115, -3567,  6422, -2857,0
        49,     12000,  1093, -6995,  5896, -4067,  6503, -2438,0
        50,     12250,  1661, -7298,  5630, -4557,  6539, -1984,0
        51,     12500,  2240, -7565,  5319, -5033,  6533, -1502,0
        52,     12750,  2824, -7794,  4963, -5492,  6475,  -985,0
