1,0,-620,4226,-3096,3155,-27411,24048,45,-224,126,4940,-28111,23038
2,250,-898,4293,-2863,5472,-28254,22595,58,-227,115,7236,-28834,21491
3,500,-1168,4335,-2617,7770,-28964,21036,71,-227,103,9499,-29402,19832
4,750,-1429,4352,-2360,10024,-29497,19350,83,-227,91,11703,-29787,18051
5,1000,-1678,4344,-2093,12214,-29838,17539,94,-225,79,13833,-29983,16158
6,1250,-1915,4309,-1817,14325,-29989,15616,104,-221,66,15877,-29992,14167
7,1500,-2136,4248,-1535,16348,-29956,13599,114,-216,53,17823,-29817,12091
8,1750,-2342,4160,-1246,18270,-29739,11499,123,-210,40,19659,-29458,9942
9,2000,-2531,4048,-955,20080,-29340,9330,131,-203,27,21374,-28917,7735
10,2250,-2701,3911,-661,21766,-28760,7105,138,-194,14,22958,-28199,5481
11,2500,-2852,3751,-368,23318,-28002,4837,144,-185,1,24400,-27306,3194
12,2750,-2947,3611,-220,24701,-27096,2847,148,-176,0,25712,-26224,720
13,3000,-2986,3491,-213,25940,-26015,1033,148,-169,0,26855,-24991,-1568
14,3250,-2988,3369,-281,27049,-24744,-924,147,-161,0,27823,-23614,-3823
15,3500,-2969,3226,-353,28002,-23309,-3160,146,-152,0,28618,-22092,-6090
16,3750,-2938,3053,-392,28766,-21748,-5581,143,-142,0,29237,-20434,-8345
17,4000,-2895,2852,-393,29333,-20071,-8013,140,-130,0,29675,-18650,-10553
18,4250,-2836,2629,-371,29714,-18277,-10336,136,-118,0,29930,-16752,-12691
19,4500,-2759,2389,-344,29918,-16363,-12509,131,-105,0,30000,-14751,-14744
20,4750,-2661,2136,-321,29948,-14338,-14552,125,-91,0,29886,-12657,-16703
21,5000,-2543,1871,-306,29799,-12219,-16494,118,-77,0,29588,-10485,-18561
22,5250,-2407,1596,-294,29465,-10026,-18352,110,-62,0,29108,-8249,-20310
23,5500,-2254,1311,-282,28946,-7773,-20120,102,-47,0,28448,-5962,-21938
24,5750,-2086,1017,-267,28247,-5476,-21781,93,-31,0,27613,-3638,-23437
25,6000,-1904,716,-247,27371,-3146,-23313,83,-16,0,26606,-1293,-24795
26,6250,-1709,411,-225,26328,-798,-24699,73,0,0,25436,1062,-26005
27,6500,-1544,257,-216,25152,1249,-25956,64,0,0,24084,3574,-27051
28,6750,-1413,247,-205,23814,3096,-27121,57,0,0,22595,5872,-27939
29,7000,-1296,312,-180,22296,5047,-28161,51,0,0,20977,8119,-28664
30,7250,-1176,384,-141,20626,7234,-28990,44,0,0,19231,10350,-29221
31,7500,-1039,423,-97,18843,9578,-29561,36,0,0,17368,12538,-29601
32,7750,-883,423,-57,16967,11922,-29885,28,0,0,15398,14653,-29798
33,8000,-714,398,-24,14994,14147,-30000,20,0,0,13336,16672,-29773
34,8250,-538,364,2,12924,16204,-29938,11,0,0,11191,18581,-29526
