1,0,-2583,-1016,2807,5419,21235,-27547,-2583,-1016,2807,0,0
2,250,-2298,-1253,2838,3175,22608,-26710,-2298,-1253,2838,0,0
3,500,-2043,-1477,2855,911,23842,-25708,-2043,-1477,2855,0,0
4,750,-1775,-1692,2855,-1358,24928,-24547,-1775,-1692,2855,0,0
5,1000,-1497,-1896,2837,-3619,25861,-23235,-1497,-1896,2837,0,0
6,1250,-1209,-2089,2801,-5857,26635,-21780,-1209,-2089,2801,0,0
7,1500,-914,-2268,2748,-8060,27244,-20191,-914,-2268,2748,0,0
8,1750,-613,-2434,2679,-10213,27685,-18477,-613,-2434,2679,0,0
9,2000,-308,-2585,2592,-12302,27956,-16650,-308,-2585,2592,0,0
10,2250,-2,-2719,2490,-14316,28054,-14719,-2,-2719,2490,0,0
11,2500,305,-2837,2373,-16242,27980,-12698,305,-2837,2373,0,0
12,2750,609,-2938,2240,-18068,27732,-10599,609,-2938,2240,0,0
13,3000,910,-3020,2094,-19782,27314,-8434,910,-3020,2094,0,0
14,3250,1205,-3084,1935,-21374,26728,-6217,1205,-3084,1935,0,0
15,3500,1493,-3129,1764,-22834,25976,-3962,1493,-3129,1764,0,0
16,3750,1772,-3154,1583,-24154,25065,-1682,1772,-3154,1583,0,0
17,4000,2040,-3160,1391,-25325,23999,607,2040,-3160,1391,0,0
18,4250,2295,-3147,1191,-26339,22785,2894,2295,-3147,1191,0,0
19,4500,2536,-3114,984,-27191,21430,5162,2536,-3114,984,0,0
20,4750,2761,-3062,770,-27876,19944,7398,2761,-3062,770,0,0
21,5000,2969,-2991,552,-28389,18334,9589,2969,-2991,552,0,0
22,5250,3159,-2901,330,-28726,16611,11721,3159,-2901,330,0,0
23,5500,3330,-2794,107,-28887,14786,13780,3330,-2794,107,0,0
24,5750,3480,-2670,-118,-28869,12870,15755,3480,-2670,-118,0,0
25,6000,3608,-2529,-341,-28674,10875,17632,3608,-2529,-341,0,0
26,6250,3714,-2372,-563,-28301,8812,19401,3714,-2372,-563,0,0
27,6500,3798,-2201,-781,-27754,6695,21050,3798,-2201,-781,0,0
28,6750,3858,-2016,-994,-27037,4537,22569,3858,-2016,-994,0,0
29,7000,3894,-1819,-1201,-26152,2351,23950,3894,-1819,-1201,0,0
30,7250,3906,-1611,-1401,-25106,150,25182,3906,-1611,-1401,0,0
31,7500,3894,-1392,-1592,-23905,-2051,26259,3894,-1392,-1592,0,0
32,7750,3858,-1165,-1773,-22557,-4240,27175,3858,-1165,-1773,0,0
33,8000,3799,-931,-1944,-21070,-6403,27922,3799,-931,-1944,0,0
34,8250,3715,-691,-2102,-19453,-8526,28498,3715,-691,-2102,0,0
35,8500,3609,-447,-2247,-17716,-10597,28898,3609,-447,-2247,0,0
36,8750,3481,-201,-2379,-15870,-12603,29120,3481,-201,-2379,0,0
37,9000,3331,48,-2496,-13926,-14530,29162,3331,48,-2496,0,0
38,9250,3161,295,-2597,-11896,-16368,29025,3161,295,-2597,0,0
39,9500,2971,541,-2682,-9793,-18106,28708,2971,541,-2682,0,0
40,9750,2763,784,-2751,-7630,-19731,28215,2763,784,-2751,0,0
41,10000,2538,1022,-2803,-5419,-21235,27547,2538,1022,-2803,0,0
42,10250,2297,1253,-2838,-3175,-22608,26710,2297,1253,-2838,0,0
43,10500,2042,1477,-2855,-911,-23842,25708,2042,1477,-2855,0,0
44,10750,1774,1692,-2855,1358,-24928,24547,1774,1692,-2855,0,0
45,11000,1496,1896,-2837,3619,-25861,23236,1496,1896,-2837,0,0
46,11250,1208,2088,-2801,5857,-26635,21781,1208,2088,-2801,0,0
47,11500,913,2268,-2748,8060,-27244,20191,913,2268,-2748,0,0
48,11750,612,2434,-2679,10213,-27685,18477,612,2434,-2679,0,0
49,12000,308,2585,-2592,12302,-27956,16650,308,2585,-2592,0,0
50,12250,1,2719,-2490,14316,-28054,14719,1,2719,-2490,0,0
51,12500,-305,2837,-2372,16242,-27980,12698,-305,2837,-2372,0,0
52,12750,-610,2938,-2240,18068,-27732,10599,-610,2938,-2240,0,0
53,13000,-911,3020,-2094,19782,-27314,8434,-911,3020,-2094,0,0
54,13250,-1206,3084,-1935,21374,-26728,6217,-1206,3084,-1935,0,0
55,13500,-1494,3129,-1764,22834,-25976,3962,-1494,3129,-1764,0,0
56,13750,-1773,3154,-1583,24154,-25065,1682,-1773,3154,-1583,0,0
57,14000,-2040,3160,-1391,25325,-23999,-607,-2040,3160,-1391,0,0
58,14250,-2295,3147,-1191,26339,-22785,-2894,-2295,3147,-1191,0,0
59,14500,-2536,3114,-984,27191,-21430,-5162,-2536,3114,-984,0,0
60,14750,-2762,3062,-770,27876,-19944,-7398,-2762,3062,-770,0,0
61,15000,-2970,2991,-552,28389,-18334,-9589,-2970,2991,-552,0,0
62,15250,-3160,2901,-330,28726,-16611,-11721,-3160,2901,-330,0,0
63,15500,-3330,2794,-107,28887,-14786,-13780,-3330,2794,-107,0,0
64,15750,-3480,2670,118,28869,-12870,-15755,-3480,2670,118,0,0
65,16000,-3609,2529,341,28674,-10875,-17632,-3609,2529,341,0,0
66,16250,-3715,2372,563,28301,-8812,-19401,-3715,2372,563,0,0
67,16500,-3799,2201,781,27754,-6695,-21050,-3799,2201,781,0,0
68,16750,-3859,2016,994,27037,-4537,-22569,-3859,2016,994,0,0
69,17000,-3895,1819,1201,26152,-2351,-23950,-3895,1819,1201,0,0
70,17250,-3907,1611,1401,25106,-150,-25182,-3907,1611,1401,0,0
71,17500,-3895,1392,1592,23905,2051,-26259,-3895,1392,1592,0,0
72,17750,-3859,1165,1773,22557,4240,-27175,-3859,1165,1773,0,0
73,18000,-3799,931,1944,21070,6403,-27922,-3799,931,1944,0,0
74,18250,-3716,691,2102,19453,8526,-28498,-3716,691,2102,0,0
75,18500,-3610,447,2247,17716,10597,-28898,-3610,447,2247,0,0
76,18750,-3482,200,2379,15870,12603,-29120,-3482,200,2379,0,0
77,19000,-3332,-48,2496,13926,14530,-29162,-3332,-48,2496,0,0
78,19250,-3162,-295,2597,11896,16368,-29024,-3162,-295,2597,0,0
79,19500,-2972,-541,2682,9793,18106,-28708,-2972,-541,2682,0,0
80,19750,-2764,-784,2751,7629,19731,-28214,-2764,-784,2751,0,0
81,20000,-2539,-1022,2803,5419,21235,-27547,-2539,-1022,2803,0,0
82,20250,-2298,-1253,2838,3175,22608,-26710,-2298,-1253,2838,0,0
